statename,unique_id,reporter,address,city,state,zip_code,county,avert_region,lat,lon,first_permit_issue_year,latest_permit_issue_year,data_center_construct_year,new_permit_or_existing_update,number_of_buildings,company,brand,brand_source_url,private_equity_or_asset_manager,private_equity_or_asset_manager_source,generator_type,of_tier_2,of_tier_3,of_tier_4,vocs_tpy,nox_tpy,co_tpy,sox_tpy,pm_tpy,pm2_5_tpy,pm10_tpy,co2e_tpy,rate_capacity_original,total_generator_rate_capacity_kw,estimate_power_consumption_in_kw_hr_calculated_30,estimate_power_consumption_in_kw_hr_calculated_50,estimate_power_consumption_in_kw_hr_calculated_60,size_category_at_30,size_category_at_50_capacity_large_vs_small,size_category_at_50_capacity,size_category_at_60,reporter_notes,page,size_capacity_over_100_mw,records_link,water_stress,water_requested,daily_water_consumption_gallons,annual_water_consumption_gallons,water_notes,water_record_link,number_of_epa_enforcements,total_penalties_assessed,primary_law,case_status_desc,major_basin_name,minor_basin_name,aquifer_name,us_environmental_justice_concern,state_environmental_justice_concern,total_population_within_1_mile_of_site,us_percentile_for_ej_index_for_particulate_matter,us_percentile_for_ej_index_for_ozone,us_percentile_for_ej_index_for_nitrogen_dioxide_no2,us_percentile_for_ej_index_for_diesel_particulate_matter,us_percentile_for_ej_index_for_toxic_releases_to_air,us_percentile_for_ej_index_for_traffic_proximity_and_volume,us_percentile_for_ej_index_for_lead_paint_indicator,us_percentile_for_ej_index_for_superfund_proximity,us_percentile_for_ej_index_for_rmp_proximity,us_percentile_for_ej_index_for_hazardous_waste_proximity,us_percentile_for_ej_index_for_underground_storage_tanks_ust_indicator,us_percentile_for_ej_index_for_wastewater_discharge_indicator,us_percentile_for_ej_index_for_drinking_water_non_compliance,state_percentile_for_ej_index_for_particulate_matter,state_percentile_for_ej_index_for_ozone,state_percentile_for_ej_index_for_nitrogen_dioxide_no2,state_percentile_for_ej_index_for_diesel_particulate_matter,state_percentile_for_ej_index_for_toxic_releases_to_air,state_percentile_for_ej_index_for_traffic_proximity_and_volume,state_percentile_for_ej_index_for_lead_paint_indicator,state_percentile_for_ej_index_for_superfund_proximity,state_percentile_for_ej_index_for_rmp_proximity,state_percentile_for_ej_index_for_hazardous_waste_proximity,state_percentile_for_ej_index_for_underground_storage_tanks_ust_indicator,state_percentile_for_ej_index_for_wastewater_discharge_indicator,state_percentile_for_ej_index_for_drinking_water_non_compliance,population_within_1_mile_radius_10_000,population_within_1_mile_radius_5_000,estimated_at_2n,estimated_at_n_1,estimated_at_2n_in_twh,estimated_at_n_1_in_twh,estimated_data_center_electricity_use_in_terrawatt_hours_a_year_at_50_capacity,estimated_data_center_electricity_use_in_megawatt_hours_at_50_capacity,,large_facilites,facilities_note
Illinois,560,Yuheng,"427 S La Salle St, Chicago, IL 60605",Chicago,IL,60605,Cook,Mid-Atlantic,41.87630045,-87.63166289,2013,2014,,Existing update,,CoreSite,CoreSite,https://www.coresite.com/data-center/ch1-chicago-il,,,,,,,-,10.01,2.3,1.7,,,,,8 MW,8000,2400,4000,"4,800",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,NP UPDATE: CenturyLink vacated premise/equipment to CoreSite in Nov 2021 (see page 6). CenturyLink's permit for this facility/location was withdrawn in its entirety. CoreSite has four emergency diesel generators rated at 2MW.,,,031600GKD.pdf ; 031600GVJ-001.pdf,High (40-80%),-,-,-,-,-,-,-,-,-,St Lawrence,Chicago,Cambro-Ordovician Aquifer System,no,no,69176.0,67,74,73,74,75,73,47,78,74,71,74,74,0,61,71,72,73,65,73,35,75,70,70,70,65,0,"More than 10,000","More than 5,000",2000,3200,0.018,0.028,0.04,4,2600,not a hyperscaler,
Illinois,599,Yuheng,"915 Technology Pkwy, Rochelle, IL 61068",Rochelle,IL,61068,Ogle,Mid-Atlantic,41.94233956,-89.03234336,2009,2016,,Existing update,,The Northern Trust Company,Northern Trust,2016 Data Center Frontier article,,,,,,,1.41,26.78,15.42,1.19,0.88,,,,,8000,2400,4000,"4,800",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,"four (4) 2,000 kw (2,937 HP) Diesel Emergency Generator",,,141050ABS (1).pdf 141050ABS.pdf,High (40-80%),-,-,-,-,-,1,$0.00,CAA,Resolved,Mississippi - Missouri,Lower Rock,Cambro-Ordovician Aquifer System,no,yes,8.0,62,65,52,52,56,35,54,0,67,45,63,58,82,55,40,39,40,34,29,42,0,60,37,49,26,92,"fewer than 10,000","fewer than 5,000",2000,3200,0.018,0.028,0.04,4,2600,not a hyperscaler,
Illinois,600,Yuheng,"3625 Amhurst Pkwy, Waukegan, IL 60085",Waukegan,IL,60085,Lake,Mid-Atlantic,42.32547554,-87.8901651,2014,2021,,Existing update,,Blue Cross Blue Shield of Illinois,Blue Cross Blue Shield,Health Care Service Corporation; Kyndryl manages this data center per 2024 Labor Dept filing,,,,,,,-,35.71,10.47,0.02,1.07,,,,,8000,2400,4000,"4,800",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,"four (4) 2,012 HP Engine/1,500 kW Standby Emergency Diesel Generator Sets and one (1) 2,682 HP Engine/ 2,000 kw Standby Emergency Diesel Generator Set pursuant to the above-referenced application.",,,097190AGQ.pdf 097190AGQ (1).pdf,High (40-80%),-,-,-,-,-,-,-,-,-,St Lawrence,Chicago,Cambro-Ordovician Aquifer System,yes,yes,1662.0,71,90,78,83,89,73,56,89,79,86,80,83,82,17,89,64,73,72,67,43,85,63,84,70,52,92,"fewer than 10,000","fewer than 5,000",2000,3200,0.018,0.028,0.04,4,2600,not a hyperscaler,
New York,773,Yuheng,"32 Avenue Of The Americas, New York, NY 10013",New York,NY,10013,New York,New York,40.72025379,-74.00471561,2019,2019,,New,,"Digital Realty Trust, Inc.",Digital Realty,in the name itself; CoreSite,Digital Realty,https://www.digitalrealty.com/data-centers/americas/new-york/jfk13,Caterpillar,,,,-,,,-,,,,,,8000,2400,4000,"4,800",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,"There are four (4) Caterpillar Model 3516B emergency generators, each rated at 2,000 kW, located on 15th & 22nd floors of the building. The generators are limited to a total maximum annual operation of 400 hours.",,,2620501644_AFR.pdf,Low (<10%),-,-,-,-,-,-,-,-,-,"United States, North Atlantic Coast",Lower Hudson / Wappinger,-,no,no,171648.0,60,72,79,80,61,78,75,83,61,80,80,81,89,74,58,74,69,74,70,62,78,80,74,69,73,68,"More than 10,000","More than 5,000",2000,3200,0.018,0.028,0.04,4,2600,not a hyperscaler,
Oregon,825,Hannah,"1300 NE 25th Avenue, Hillsboro, OR 97124",Hillsboro,OR,97124,Washington,Northwest,45.5345064,-122.9554318,2017,2017,,New,,Data Center West Coast LLC,OVHcloud,OVH groupe doc p. 69,,,,,,,-,0.618,0.069,-,0.02,,,,,8000,2400,4000,"4,800",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,Install four 2 megawatt emergency generators,,,34-0188 Application 29221.pdf,Low (<10%),-,-,-,-,-,-,-,-,-,Columbia and Northwestern United States,Tualatin,-,no,no,9397.0,73,7,56,59,57,55,42,0,67,68,63,42,0,28,32,72,61,64,67,49,0,75,83,70,63,0,"fewer than 10,000","More than 5,000",2000,3200,0.018,0.028,0.04,4,2600,not a hyperscaler,
Virginia,1016,Narimes,"544 Herndon Pkwy, Herndon VA",Herndon,VA,20170,Fairfax,Mid-Atlantic,38.954415,-77.380191,2007,2007,,New,,Freddie Mac,US Federal Home Loan Mortgage Corporation,"Federal Home Loan Mortgage Corp https://www.investopedia.com/terms/f/freddiemac.asp#:~:text=Key%20Takeaways-,The%20Federal%20Home%20Loan%20Mortgage%20Corp.,them%20as%20mortgage%2Dbacked%20securities.",,,Caterpillar,,,,1.27,15.98,3.44,-,,,1.12,,,8000,2400,4000,"4,800",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,"Four Caterpillar engines at 2000ekW each 73105 - Permit - 20070726_58852782.pdf pg 4. Folder 73105, App No. 2",,,73105 - Permit - 20070726_58852782.pdf,Low (<10%),-,-,-,-,-,-,-,-,-,"United States, North Atlantic Coast",Middle Potomac / Catoctin,-,no,yes,13989.0,43,56,79,73,34,71,27,59,0,58,72,62,0,90,90,89,84,58,81,33,64,0,74,77,72,0,"More than 10,000","More than 5,000",2000,3200,0.018,0.028,0.04,4,2600,not a hyperscaler,
Virginia,1068,Yuheng,"22340 Dresden St, Sterling, VA 20166",Sterling,VA,20166,Loudoun,Mid-Atlantic,38.99796678,-77.44355567,2008,2008,,New,,VeriSign Incorporated,VeriSign,in the name itself,,,Cummins,,,,1.68,23.6,3.06,0.63,,,0.72,,,8000,2400,4000,"4,800",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,One (1) Cummins diesel engine driven generator set 2000 ekW (2919 bhp); One (1) Cummins diesel engine driven generator set 2000 ekW (2922 bhp); One (1) Cummins diesel engine driven generator set 2000 ekW (2922 bhp); One (1) Cummins diesel engine driven generator set 2000 ekW (2922 bhp),,,73341 - Permit - 20080725_34977832.pdf,Low (<10%),-,-,-,-,-,-,-,-,-,"United States, North Atlantic Coast",Middle Potomac / Catoctin,-,no,no,905.0,33,47,61,62,36,58,24,73,0,59,58,71,0,78,80,74,71,60,66,28,79,0,75,57,75,0,"fewer than 10,000","fewer than 5,000",2000,3200,0.018,0.028,0.04,4,2600,not a hyperscaler,
Florida,1128,Trey,"1525 NW 98th Court, Doral, FL 33172",Doral,FL,33172,Miami-Dade,Florida,25.78779804,-80.35466283,2010,2024,,Existing update,,"MCI Communications Services, Inc. d/b/a Verizon Business Services",Verizon,https://www.equinix.com/data-centers/americas-colocation/united-states-colocation/miami-data-centers/mi6,,,Onan,,,,-,,,-,,,,,8000 KW,8000,2400,4000,"4,800",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,"(4) four 2000 KW emergency power generators. The generators consit of Onan Model DQKC-Low emmissions Versions, fueld by low-sulfur diesel fuel; Onan is a subsidiary of Cummins since 1992.",3,,AIR_0251024-EQUINIX-PERMIT APPLICATION.pdf,Low - Medium (10-20%),-,-,-,-,-,-,-,-,-,"Gulf of Mexico, North Atlantic Coast",Everglades,Gulf Coastal Plains Aquifer System,yes,yes,15564.0,78,77,87,91,87,89,31,86,79,80,71,0,96,83,91,88,89,83,90,49,81,81,88,55,0,89,"More than 10,000","More than 5,000",2000,3200,0.018,0.028,0.04,4,2600,not a hyperscaler,
Missouri,1158,Narimes,"101 Holmes St, Kansas City, MO 64106",Kansas City,MO,64106,Jackson,Central,39.11280834,-94.57640412,2002,2012,,Existing update,,Sprint Communications,Cogent,see Cogent list; Data Center Dynamics article,,,,,,,-,40.0,,-,,10.0,15.0,,,8000,2400,4000,"4,800",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,construction of four (4) 2000 kW generators,,,2012-07-059-sprint-cp-0952226-apcp (1).pdf,Low (<10%),-,-,-,-,-,-,-,-,-,Mississippi - Missouri,Lower Missouri / Crooked,-,no,no,12719.0,76,65,83,80,88,81,75,82,83,82,76,80,0,86,80,88,88,89,89,78,86,87,88,82,84,0,"More than 10,000","More than 5,000",2000,3200,0.018,0.028,0.04,4,2600,not a hyperscaler,
Missouri,1159,Narimes,"210 N Tucker #343, St. Louis MO 63101",St. Louis,MO,63101,St. Louis,Midwest,38.62950798,-90.19724013,2010,2010,,New,,Digital Realty,Digital Realty,in the name itself,,,Cummins,,,,0.35,12.07,2.77,0.2,,,0.07,,,8000,2400,4000,"4,800",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,Four Onan emergency generators at 1500kW and one Caterpillar emergency generator at 2000kW,,,Digital_Realty_Trust_2010 (1).pdf,Low (<10%),-,-,-,-,-,-,-,-,-,Mississippi - Missouri,Cahokia / Joachim,-,yes,yes,14763.0,85,85,88,90,88,87,84,91,91,89,89,88,94,92,91,92,92,88,93,87,93,93,92,93,90,96,"More than 10,000","More than 5,000",2000,3200,0.018,0.028,0.04,4,2600,not a hyperscaler,
Florida,1209,Narimes,"9701 S. John Young Pkwy, Orlando FL 32819",Orlando,FL,32819,Orange,Florida,28.42733488,-81.41986076,2022,2023,,Existing update,,CoreSite Real Estate OR1 LLC,CoreSite,in the name itself,,,Caterpillar,,,,-,,,-,,,,,,8400,2520,4200,"5,040",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,"Three emergeny generators - 'Each of these emission units is manufactured by Caterpillar and consists of a Solar International, Inc. Model, Centaur GE1-CB-ID CT driving a 2800 kW generator'",,,9701 S John Young Pkwy.pdf,Medium - High (20-40%),-,-,-,-,-,-,-,-,-,"Gulf of Mexico, North Atlantic Coast",Kissimmee,Gulf Coastal Plains Aquifer System,yes,yes,1086.0,88,75,89,90,91,85,15,0,89,88,91,61,93,95,84,90,88,90,86,34,0,90,92,85,80,70,"fewer than 10,000","fewer than 5,000",2100,3360,0.018,0.029,0.04,4.2,2730,not a hyperscaler,
New Jersey,1234,Narimes,"1 Enterprise N, Secaucus NJ 07094",Secaucus,NJ,7094,Hudson,Mid-Atlantic,40.78774313,-74.06805106,2014,2014,,New,,Internap Network Services,Evocative Data Centers,Listed on Evocative's website,,,,,,,0.19,11.16,1.18,0.93,,0.22,0.22,,,8000,2400,4000,"4,800",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,four emergency generators at 2000kW each,,,1851_PCP140001_20588199.pdf,Medium - High (20-40%),-,-,-,-,-,-,-,-,-,"United States, North Atlantic Coast",Hackensack / Passaic,-,no,no,13711.0,63,70,77,79,63,76,67,83,69,78,80,76,0,78,77,73,77,55,76,56,78,72,75,71,76,0,"More than 10,000","More than 5,000",2000,3200,0.018,0.028,0.04,4,2600,not a hyperscaler,
New Jersey,1235,Narimes,"125 Belmont Dr, Franklin Twp NJ 08873",Franklin,NJ,8873,Somerset,Mid-Atlantic,40.54088376,-74.53689945,2014,2014,,New,,DataPipe,Rackspace,Click on 'in what regions is the service available' in their docs. NYC2 is the name of this location,,,,,,,0.19,11.16,1.18,0.93,,0.22,0.22,,,8000,2400,4000,"4,800",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,eight emergency generators ranging in capacity from 900 to 1000kW,,,1851_PCP140001_20588199.pdf,High (40-80%),-,-,-,-,-,-,-,-,-,"United States, North Atlantic Coast",Raritan,-,no,no,3936.0,45,64,65,74,64,61,68,83,74,79,74,78,76,56,52,62,63,58,56,56,74,77,75,58,79,61,"fewer than 10,000","fewer than 5,000",2000,3200,0.018,0.028,0.04,4,2600,not a hyperscaler,
New Jersey,1238,Narimes,"25 Corporate Pl S, Piscataway Twp NJ 08854",Piscataway,NJ,8854,Middlesex,Mid-Atlantic,40.5494205,-74.45819432,2011,2011,,New,,Nomura Securities International Inc,DataBank,Listed on their website,,,Caterpillar,,,,0.12,6.38,0.5,0.01,,,0.04,,,8130,2439,4065,"4,878",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,three Caterpillar diesel fired emergency generators rated at 2710kW each,6,,50123_PCP110001_15432790.pdf,High (40-80%),-,-,-,-,-,-,-,-,-,"United States, North Atlantic Coast",Raritan,-,no,no,2444.0,44,62,64,71,63,61,62,81,72,76,72,71,0,55,54,60,60,58,57,47,71,74,72,55,71,0,"fewer than 10,000","fewer than 5,000",2032.5,3252,0.018,0.028,0.04,4.07,2642.25,not a hyperscaler,
Colorado,1261,Narimes,"8534 Concord Center Dr, Englewood CO 80112",Englewood,CO,80112,Arapahoe,Rocky Mountains,39.56110623,-104.8307407,2009,2024,,Existing update,,"Cyxtera Communications, LLC",Centersquare,035-0712-001_PRMT XP_09DG0566.XP_1 22 2021.pdf,,,Caterpillar,,,,-,16.3,,-,,,,,11172 HP,8330,2499,4165,"4,998",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,four Caterpillar engines (two @ 2710 HP; two @ 2876 HP),,,035-0712-001_PRMT XP_09DG0566.XP_1 22 2021.pdf,Extremely High (>80%),pending,-,-,-,-,-,-,-,-,Mississippi - Missouri,Upper South Platte,-,no,no,174.0,28,51,38,42,32,40,0,0,38,0,36,42,0,37,50,44,43,33,44,0,0,36,0,31,25,0,"fewer than 10,000","fewer than 5,000",2082.5,3332,0.018,0.029,0.04,4.17,2707.25,not a hyperscaler,
Massachusetts,1378,Narimes,"400 Minutemen Park, Andover MA 01810",Andover,MA,1810,Essex,New England,42.69736897,-71.2114552,1999,1999,,New,,Navisite,Accenture,"NP: cloud management services provider. Acquired by Accenture in Jan 2024: https://www.navisite.com/about/#:~:text=In%20January%202024%2C%20Accenture%20acquired,build%20a%20strong%20digital%20core.",,,Caterpillar,,,,-,20.56,1.44,0.84,,,,,,8000,2400,4000,"4,800",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,4 sets of 2000kW Caterpillar engines,,,NaviSite MBR-99-COM-023 (400 Minuteman Rd Andove).pdf,Low - Medium (10-20%),-,-,-,-,-,-,-,-,-,Atlantic Ocean Seaboard,Merrimack / Concord,-,no,no,4169.0,11,25,65,51,44,70,60,59,69,69,63,51,82,38,21,68,61,38,67,50,52,78,66,64,67,77,"fewer than 10,000","fewer than 5,000",2000,3200,0.018,0.028,0.04,4,2600,not a hyperscaler,
California,106,Narimes,"4701 S Santa Fe, Vernon CA 90058",Vernon,CA,90058,Los Angeles,California,34.0012303,-118.2310831,2024,2024,,New,,Prime Data Center,Prime Data Centers,https://primedatacenters.com/los-angeles-data-center/,,,Cummins,,,,-,,,-,,,,,,7611,2283,3806,"4,567",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,2@3250kW + 1490 BHP - logged as part of backstop,,,199797 - 4701 S Santa Fe Ave,Extremely High (>80%),received,-,"284,988",Agency only provided figures from July 2024 through September 2024. Measured in HCF. 381 HCF =,Water_Usage_-4701_Santa_Fe_Ave..pdf,-,-,-,-,California,Los Angeles,-,yes,yes,12880.0,98,98,97,98,93,98,93,96,98,98,0,95,0,93,88,97,96,96,97,92,94,98,98,0,87,0,"More than 10,000","More than 5,000",1902.75,3044.4,0.017,0.027,0.03,3.81,2473.58,not a hyperscaler,
California,252,Narimes,"3175 Spring St, Redwood City CA 94063",Redwood City,CA,94063,San Mateo,California,37.48071142,-122.2004363,1999,2016,,Existing update,,AT&T,AT&T,,,,"Cummins, Caterpillar",,,,0.138,1.849,0.612,0.001,0.027,0.027,0.027,,10264 HP,7654,2296,3827,"4,592",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,"five emergency generators: two rated at 2200 HP, one rated at 2876 HP, and two rated at 1474 HP",rows 3220-3224,,ICE Data 3-5-2024 (list of all backup generators from Bay ARea AQMD).xlsx ; Screenshot 2025-01-28 at 2.26.57â¯PM.png,Low - Medium (10-20%),-,-,-,-,-,-,-,-,-,California,San Francisco Bay,-,yes,no,23809.0,89,32,71,71,42,85,86,83,28,90,0,41,0,34,21,41,36,48,61,81,66,20,82,0,40,0,"More than 10,000","More than 5,000",1913.47,3061.54,0.017,0.027,0.03,3.83,2487.5,not a hyperscaler,
New York,769,Yuheng,"11 Skyline Dr Hawthorne, NY 10532",Hawthorne,NY,10532,Westchester,New York,41.08875065,-73.8153392,2023,2023,,New,,TierPoint LLC,TierPoint,https://www.tierpoint.com/data-centers/new-york/new-york-hawthorne/,,,,,,,-,,,-,,,,,,7750,2325,3875,"4,650",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,Data center with power generation system consisting of three 1.25 MW diesel-fired engines and two 2 MW diesel-fired engines.,,,3553400274_AFR.pdf,Low (<10%),-,-,-,-,-,-,-,-,-,"United States, North Atlantic Coast",Lower Hudson / Wappinger,-,yes,yes,2454.0,81,90,79,94,64,91,83,92,83,93,71,78,98,93,75,66,78,64,72,48,72,95,76,54,72,99,"fewer than 10,000","fewer than 5,000",1937.5,3100,0.017,0.027,0.03,3.88,2518.75,not a hyperscaler,
Virginia,1059,Yuheng,"7681 Boston Blvd, Springfield, VA 22153",Springfield,VA,22153,Fairfax,Mid-Atlantic,38.73826566,-77.20802186,2014,2014,,New,,US Customs and Border Protection,US Customs and Border Protection,in the name itself,,,Caterpillar,,,,-,14.5,2.1,-,,,,,,7600,2280,3800,"4,560",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,4@1000; 4@900,,,74060 - Permit - 20140731_25403277.pdf,High (40-80%),-,-,-,-,-,-,-,-,-,"United States, North Atlantic Coast",Middle Potomac / Anacostia / Occoquan,Gulf Coastal Plains Aquifer System,no,no,9359.0,33,40,49,66,23,63,19,0,71,56,53,62,0,81,74,60,75,40,71,23,0,81,72,54,68,0,"fewer than 10,000","More than 5,000",1900,3040,0.017,0.027,0.03,3.8,2470,not a hyperscaler,
New Jersey,1204,Rosemarie,"165 Halsey St, Newark, NJ 07102",Newark,NJ,7102,Essex,Mid-Atlantic,40.73690306,-74.17333788,2018,2018,,New,,Verizon Business Global LLC,Verizon,in permit,,,,,,,-,,,-,,,,,,7550,2265,3775,"4,530",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,three 19.73 MMBTU/Hr Emerg. Gen. (2000 kW) + one 7.50 MMBTU/Hr Emerg. Gen. (750 kW) + 8.40 MMBTU/Hr Emerg. Gen. (800 kW),,,53400_GEN180001_25870913.pdf,Low (<10%),-,-,-,-,-,-,-,-,-,"United States, North Atlantic Coast",Hackensack / Passaic,-,yes,yes,56211.0,79,85,94,95,88,93,79,96,88,95,95,85,74,93,88,93,93,92,93,64,94,93,93,92,82,55,"More than 10,000","More than 5,000",1887.5,3020,0.017,0.026,0.03,3.78,2453.75,not a hyperscaler,
California,125,Yuheng,"3015 Winona Ave, Burbank, CA 91504",Burbank,CA,91504,Los Angeles,California,34.20031758,-118.3438238,2024,2024,,New,,Phoenix Data Centers Leasehold LLC,Digital Realty,https://www.digitalrealty.com/data-centers/americas/los-angeles/bur10,Digital Core REIT (Digital Realty),https://www.datacenterdynamics.com/en/news/digital-realty-ties-refinancing-to-sustainability-targets-files-prospectus-for-singapore-reit-ipo/,Cummins,,,,-,,,-,,,,,9990 HP,7450,2235,3725,"4,470",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,(1850 Ã 3) + (2220 Ã 2),,,202064,Extremely High (>80%),denied,-,-,-,-,-,-,-,-,California,Los Angeles,-,no,no,16441.0,81,85,73,77,64,81,76,85,66,81,0,81,0,36,72,58,54,61,69,66,77,48,67,0,67,0,"More than 10,000","More than 5,000",1862.38,2979.8,0.016,0.026,0.03,3.72,2421.09,not a hyperscaler,
California,370,Narimes,"1201 Comstock Dr, Santa Clara CA 95054",Santa Clara,CA,95054,Santa Clara,California,37.37508799,-121.9538667,2008,2008,,New,,Comstock Data Center,Digital Realty,https://www.digitalrealty.com/data-centers/americas/silicon-valley/sjc15,,,Cummins,,,,0.004,0.144,0.006,0,0.0,0.0,0.0,,9753 HP,7273,2182,3636,"4,364",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,three emergency generators rated at 3251 HP each (note: usage unit is 'in thousand gallons' but the agency told Narimes we can still convert the HP into kW for our purposes.),rows 5247-5249,,706965_FID203572_active.pdf; ICE Data 3-5-2024 (list of all backup generators from Bay ARea AQMD).xlsx ; 1201 Comstock emissions.png ;,Low - Medium (10-20%),-,-,-,-,-,-,-,-,-,California,Coyote,-,no,no,4933.0,87,79,80,84,41,87,43,89,77,88,0,88,0,46,32,67,65,46,79,33,84,63,87,0,84,0,"fewer than 10,000","fewer than 5,000",1818.2,2909.12,0.016,0.025,0.03,3.64,2363.66,not a hyperscaler,
California,404,Yuheng,"Intersection of Humphreys St and Embarcadero St, Stockton, CA 95203",Stockton,CA,95203,San Joaquin,California,37.95607,-121.36779,2024,2024,,New,,"Poseidon One, LLC",Nautilus Data Technologies,https://www.waterboards.ca.gov/centralvalley/board_decisions/adopted_orders/401_wqcerts/5b39cr00299a1.pdf,,,Caterpillar,,,,-,0.0,0.0,0,0.0,,0.0,,,7085,2125,3542,"4,251",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,"2@ 2,937 bhp caterpillar generators; 1@3627 bhp generators",,,N-8119-1-0-PTO-FINAL.pdf N-8119-2-0-PTO-FINAL.pdf N-9630-3-0-PTO-FINAL.pdf,High (40-80%),-,-,-,-,-,-,-,-,-,California,San Joaquin Delta,California Central Valley Aquifer System,no,yes,711.0,72,68,43,66,38,58,51,72,70,64,0,66,82,57,25,17,42,36,24,39,54,56,26,0,45,96,"fewer than 10,000","fewer than 5,000",1771.22,2833.96,0.016,0.025,0.03,3.54,2302.59,not a hyperscaler,
California,420,Narimes,"1400 Kifer Rd, Sunnyvale CA 94086",Sunnyvale,CA,94086,Santa Clara,California,37.37223422,-121.9859989,1999,2003,,Existing update,,"Cyxtera Communications, LLC SN1",Centersquare,https://www.bloomberg.com/news/articles/2023-11-01/brookfield-to-buy-data-center-properties-in-775-million-deal,Mapletree Industrial Trust,Mapletree portfolio; reporting,Cummins,,,,1.766,24.928,4.55,0.015,0.314,0.314,0.314,,9620 HP,7174,2152,3587,"4,304",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,five emergency generators: one rated at 2220 HP and four rated at 1850 HP each,rows 8193-8197,,ICE Data 3-5-2024 (list of all backup generators from Bay ARea AQMD).xlsx ; 1400 Kifer Rd emissions.png,Low - Medium (10-20%),-,-,-,-,-,-,-,-,-,California,Coyote,-,no,no,15984.0,79,68,70,75,32,79,65,84,60,81,0,81,0,34,24,53,53,37,65,53,75,41,77,0,74,0,"More than 10,000","More than 5,000",1793.41,2869.45,0.016,0.025,0.03,3.59,2331.43,not a hyperscaler,
Georgia,537,Narimes,"335 Research Ct, Norcross GA 30092",Norcross,GA,30092,Gwinnett,Southeast,33.96332377,-84.21292686,2000,2004,,Existing update,,Travelers Data Center,Travelers Indemnity Company,https://www.ajc.com/news/business/travelers-insurance-opens-office-at-tech-squares-coda-building/DZRSC4KM7ZE5DEKGAGBUH5U6D4/,,,,,,,-,,,-,,,,,7.5 MW,7500,2250,3750,"4,500",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,five diesel generators rated at 1.5MW each,,,PDF-OP-15334.pdf PDF-OP-9418.pdf,Medium - High (20-40%),-,-,-,-,-,-,-,-,-,"Gulf of Mexico, North Atlantic Coast",Chattahoochee,-,no,no,6921.0,81,63,66,78,77,72,27,0,83,65,78,51,0,79,82,74,78,75,75,40,0,78,74,72,55,0,"fewer than 10,000","More than 5,000",1875,3000,0.016,0.026,0.03,3.75,2437.5,not a hyperscaler,
Illinois,586,Yuheng,"100 Grainger Parkway, Lake Forest, IL 60045",Lake Forest,IL,60045,Lake,Mid-Atlantic,42.23653831,-87.91115027,2013,2018,,Existing update,,WW Grainger Inc,WW Grainger,2016 Data Center Frontier article,,,,,,,1.32,25.11,14.46,0.03,0.83,,,,,7500,2250,3750,"4,500",not a hyperscaler,small-scale,not a hyperscaler,not a hyperscaler,five (5) 1500kW Standby Emergency Diesel Generator Sets and to OPERATE 1500kW Standby Emergency Diesel Generator Sets and two 12.56 mmBtu/h6 natural gas-fired boilers pursuant to the above-referenced application.,,,097812AAJ (1).pdf 097812AAJ.pdf,High (40-80%),-,-,-,-,-,-,-,-,-,Mississippi - Missouri,Des Plaines,Cambro-Ordovician Aquifer System,no,no,629.0,33,48,30,40,41,35,22,57,29,39,40,42,0,9,48,19,31,27,32,13,49,9,35,28,22,0,"fewer than 10,000","fewer than 5,000",1875,3000,0.016,0.026,0.03,3.75,2437.5,not a hyperscaler,
